date,weekday,TFT1_Comdty_PX-LAST-CHF,imputed,TFT1_Comdty_start
2015-03-20,Friday,15.25445,,start
2015-03-21,Saturday,15.25445,imputed from 0,
2015-03-22,Sunday,15.25445,imputed from 1,
2015-03-23,Monday,15.0888,,
2015-03-24,Tuesday,14.95225,,
2015-03-25,Wednesday,14.99084,,
2015-03-26,Thursday,14.98196,,
2015-03-27,Friday,14.89742,,start
2015-03-28,Saturday,14.89742,imputed from 7,
2015-03-29,Sunday,14.89742,imputed from 8,
2015-03-30,Monday,14.99945,,
2015-03-31,Tuesday,15.01358,,
2015-04-01,Wednesday,14.93673,,
2015-04-02,Thursday,14.8952,,
2015-04-03,Friday,14.7715,,start
2015-04-04,Saturday,14.7715,imputed from 14,
2015-04-05,Sunday,14.7715,imputed from 15,
2015-04-06,Monday,14.7715,imputed from 16,
2015-04-07,Tuesday,14.92451,,
2015-04-08,Wednesday,14.79782,,
2015-04-09,Thursday,14.99667,,
2015-04-10,Friday,15.01122,,start
2015-04-11,Saturday,15.01122,imputed from 21,
2015-04-12,Sunday,15.01122,imputed from 22,
2015-04-13,Monday,15.01194,,
2015-04-14,Tuesday,14.97505,,
2015-04-15,Wednesday,15.02565,,
2015-04-16,Thursday,14.89534,,
2015-04-17,Friday,14.80925,,start
2015-04-18,Saturday,14.80925,imputed from 28,
2015-04-19,Sunday,14.80925,imputed from 29,
2015-04-20,Monday,14.97754,,
2015-04-21,Tuesday,14.9748,,
2015-04-22,Wednesday,15.21888,,
2015-04-23,Thursday,14.97396,,
2015-04-24,Friday,14.96324,,start
2015-04-25,Saturday,14.96324,imputed from 35,
2015-04-26,Sunday,14.96324,imputed from 36,
2015-04-27,Monday,14.96482,,
2015-04-28,Tuesday,15.03836,,
2015-04-29,Wednesday,14.78207,,
2015-04-30,Thursday,14.83387,,
2015-05-01,Friday,14.83387,imputed from 41,start
2015-05-02,Saturday,14.83387,imputed from 42,
2015-05-03,Sunday,14.83387,imputed from 43,
2015-05-04,Monday,14.70116,,
2015-05-05,Tuesday,14.53219,,
2015-05-06,Wednesday,14.38625,,
2015-05-07,Thursday,14.4401,,
2015-05-08,Friday,14.59954,,start
2015-05-09,Saturday,14.59954,imputed from 49,
2015-05-10,Sunday,14.59954,imputed from 50,
2015-05-11,Monday,14.64134,,
2015-05-12,Tuesday,14.48582,,
2015-05-13,Wednesday,14.37511,,
2015-05-14,Thursday,14.31146,,
2015-05-15,Friday,14.37627,,start
2015-05-16,Saturday,14.37627,imputed from 56,
2015-05-17,Sunday,14.37627,imputed from 57,
2015-05-18,Monday,14.41522,,
2015-05-19,Tuesday,14.5636,,
2015-05-20,Wednesday,14.62888,,
2015-05-21,Thursday,14.57787,,
2015-05-22,Friday,14.71029,,start
2015-05-23,Saturday,14.71029,imputed from 63,
2015-05-24,Sunday,14.71029,imputed from 64,
2015-05-25,Monday,14.71285,,
2015-05-26,Tuesday,14.62902,,
2015-05-27,Wednesday,14.69129,,
2015-05-28,Thursday,14.46869,,
2015-05-29,Friday,14.44569,,start
2015-05-30,Saturday,14.44569,imputed from 70,
2015-05-31,Sunday,14.44569,imputed from 71,
2015-06-01,Monday,14.37803,,
2015-06-02,Tuesday,14.25855,,
2015-06-03,Wednesday,14.34013,,
2015-06-04,Thursday,14.27871,,
2015-06-05,Friday,14.44743,,start
2015-06-06,Saturday,14.44743,imputed from 77,
2015-06-07,Sunday,14.44743,imputed from 78,
2015-06-08,Monday,14.35731,,
2015-06-09,Tuesday,14.33489,,
2015-06-10,Wednesday,14.27048,,
2015-06-11,Thursday,14.32716,,
2015-06-12,Friday,14.12133,,start
2015-06-13,Saturday,14.12133,imputed from 84,
2015-06-14,Sunday,14.12133,imputed from 85,
2015-06-15,Monday,14.17546,,
2015-06-16,Tuesday,14.28034,,
2015-06-17,Wednesday,14.16324,,
2015-06-18,Thursday,14.16886,,
2015-06-19,Friday,14.08274,,start
2015-06-20,Saturday,14.08274,imputed from 91,
2015-06-21,Sunday,14.08274,imputed from 92,
